DATE,BXM
09/22/2004,650.230000
09/23/2004,648.310000
09/24/2004,649.480000
09/27/2004,646.680000
09/28/2004,650.350000
09/29/2004,652.900000
09/30/2004,652.690000
10/01/2004,658.810000
10/04/2004,659.810000
10/05/2004,659.760000
10/06/2004,661.840000
10/07/2004,659.350000
10/08/2004,657.450000
10/11/2004,659.100000
10/12/2004,658.380000
10/13/2004,654.530000
10/14/2004,648.590000
10/15/2004,637.180000
10/18/2004,653.530000
10/19/2004,650.340000
10/20/2004,650.880000
10/21/2004,652.280000
10/22/2004,648.490000
10/25/2004,647.990000
10/26/2004,653.720000
10/27/2004,657.120000
10/28/2004,658.130000
10/29/2004,658.650000
11/01/2004,658.540000
11/02/2004,658.760000
11/03/2004,661.810000
11/04/2004,663.020000
11/05/2004,662.910000
11/08/2004,662.990000
11/09/2004,663.080000
11/10/2004,663.170000
11/11/2004,663.330000
11/12/2004,664.050000
11/15/2004,663.910000
11/16/2004,664.160000
11/17/2004,664.520000
11/18/2004,664.120000
11/19/2004,657.230000
11/22/2004,659.940000
11/23/2004,660.190000
11/24/2004,661.550000
11/26/2004,662.360000
11/29/2004,661.800000
11/30/2004,660.360000
12/01/2004,664.720000
12/02/2004,664.680000
12/03/2004,665.300000
12/06/2004,665.620000
12/07/2004,662.920000
12/08/2004,665.000000
12/09/2004,666.270000
12/10/2004,666.820000
12/13/2004,667.840000
12/14/2004,667.670000
12/15/2004,668.350000
12/16/2004,668.690000
12/17/2004,670.210000
12/20/2004,671.460000
12/21/2004,674.930000
12/22/2004,675.680000
12/23/2004,676.230000
12/27/2004,675.140000
12/28/2004,677.660000
12/29/2004,677.410000
12/30/2004,677.620000
12/31/2004,677.260000
01/03/2005,675.360000
01/04/2005,671.290000
01/05/2005,670.070000
01/06/2005,672.270000
01/07/2005,671.990000
01/10/2005,674.140000
01/11/2005,671.390000
01/12/2005,673.950000
01/13/2005,669.430000
01/14/2005,673.330000
01/18/2005,678.820000
01/19/2005,673.980000
01/20/2005,668.920000
01/21/2005,666.610000
01/24/2005,665.450000
01/25/2005,667.790000
01/26/2005,670.350000
01/27/2005,671.120000
01/28/2005,670.020000
01/31/2005,673.890000
02/01/2005,676.280000
02/02/2005,676.930000
02/03/2005,676.850000
02/04/2005,679.070000
02/07/2005,678.970000
02/08/2005,679.360000
02/09/2005,678.970000
02/10/2005,679.250000
02/11/2005,679.740000
02/14/2005,680.240000
02/15/2005,680.520000
02/16/2005,680.960000
02/17/2005,680.660000
02/18/2005,680.280000
02/22/2005,673.510000
02/23/2005,676.750000
02/24/2005,680.860000
02/25/2005,683.610000
02/28/2005,681.950000
03/01/2005,683.740000
03/02/2005,683.760000
03/03/2005,684.160000
03/04/2005,686.740000
03/07/2005,687.360000
03/08/2005,687.220000
03/09/2005,684.820000
03/10/2005,686.300000
03/11/2005,683.760000
03/14/2005,686.700000
03/15/2005,683.900000
03/16/2005,679.700000
03/17/2005,681.030000
03/18/2005,680.370000
03/21/2005,678.710000
03/22/2005,674.690000
03/23/2005,675.670000
03/24/2005,675.290000
03/28/2005,676.980000
03/29/2005,673.190000
03/30/2005,680.430000
